Sales Person,Country,Product,Date,Month, Amount ,Boxes Shipped
Roddy Speechley,USA,50% Dark Bites,02/Nov/2023,November,"$10,849 ",330
Van Tuxwell,India,Almond Choco,14/Jun/2023,June,"$7,247 ",402
Kelci Walkden,USA,50% Dark Bites,23/Mar/2023,March,"$6,388 ",227
Madelene Upcott,Canada,85% Dark Bars,17/Feb/2023,February,"$8,373 ",108
Dennison Crosswaite,Canada,Smooth Sliky Salty,17/Mar/2023,March,"$1,887 ",488
Mallorie Waber,Australia,Spicy Special Slims,29/Jun/2023,June,"$6,054 ",287
Ches Bonnell,Canada,Choco Coated Almonds,24/Aug/2023,August,"$16,255 ",268
Gigi Bohling,Canada,Spicy Special Slims,07/Apr/2023,April,"$13,174 ",301
Roddy Speechley,New Zealand,Almond Choco,28/Mar/2023,March,"$2,721 ",72
Curtice Advani,India,Smooth Sliky Salty,19/Apr/2023,April,"$19,284 ",139
Ches Bonnell,New Zealand,Mint Chip Choco,18/Jan/2023,January,"$9,328 ",232
Van Tuxwell,New Zealand,Fruit & Nut Bars,17/Jan/2023,January,"$3,184 ",85
Andria Kimpton,New Zealand,Mint Chip Choco,15/Feb/2023,February,"$9,739 ",209
Andria Kimpton,UK,Milk Bars,02/Nov/2023,November,"$16,487 ",314
Camilla Castle,USA,Manuka Honey Choco,21/Mar/2023,March,"$16,792 ",184
Gunar Cockshoot,New Zealand,Almond Choco,01/May/2023,May,"$5,753 ",125
Brien Boise,India,Raspberry Choco,30/May/2023,May,"$6,833 ",157
Jehu Rudeforth,USA,99% Dark & Pure,01/Apr/2023,April,"$2,816 ",222
Beverie Moffet,Australia,Fruit & Nut Bars,22/Apr/2023,April,"$1,545 ",269
Gigi Bohling,Canada,Milk Bars,02/Oct/2023,October,"$3,433 ",120
Dotty Strutley,India,Spicy Special Slims,08/Dec/2023,December,"$1,002 ",217
Gunar Cockshoot,USA,Organic Choco Syrup,08/Oct/2023,October,"$2,494 ",315
Kelci Walkden,Australia,Raspberry Choco,06/Jul/2023,July,$770 ,61
Jehu Rudeforth,India,Baker's Choco Chips,06/Jun/2023,June,"$2,262 ",73
Karlen McCaffrey,New Zealand,Baker's Choco Chips,04/May/2023,May,"$5,668 ",204
Wilone O'Kielt,USA,50% Dark Bites,18/Apr/2023,April,"$4,739 ",125
Andria Kimpton,India,50% Dark Bites,31/Jan/2023,January,"$13,662 ",15
Madelene Upcott,USA,Baker's Choco Chips,22/Aug/2023,August,"$6,067 ",151
Jehu Rudeforth,Australia,99% Dark & Pure,25/Feb/2023,February,"$11,721 ",204
Jan Morforth,Australia,Mint Chip Choco,22/Feb/2023,February,"$20,000 ",106
Oby Sorrel,New Zealand,Milk Bars,01/Dec/2023,December,"$4,484 ",201
Brien Boise,UK,Almond Choco,25/May/2023,May,$107 ,129
Kelci Walkden,India,Smooth Sliky Salty,02/Jan/2023,January,"$2,526 ",8
Rafaelita Blaksland,UK,Eclairs,27/Apr/2023,April,"$1,578 ",67
Gigi Bohling,USA,Smooth Sliky Salty,22/Jul/2023,July,"$2,972 ",129
Curtice Advani,New Zealand,Mint Chip Choco,26/Jan/2023,January,"$3,692 ",284
Curtice Advani,USA,Mint Chip Choco,24/Aug/2023,August,"$5,189 ",293
Madelene Upcott,New Zealand,Fruit & Nut Bars,18/Jan/2023,January,"$5,767 ",21
Karlen McCaffrey,India,85% Dark Bars,30/Mar/2023,March,"$1,037 ",82
Ches Bonnell,Australia,Caramel Stuffed Bars,17/Jan/2023,January,"$10,034 ",163
Kelci Walkden,USA,Fruit & Nut Bars,17/Feb/2023,February,"$5,221 ",154
Kelci Walkden,Canada,Peanut Butter Cubes,04/Aug/2023,August,"$8,107 ",47
Gigi Bohling,Canada,Drinking Coco,07/Jun/2023,June,"$3,934 ",86
Husein Augar,India,Fruit & Nut Bars,04/Apr/2023,April,"$4,509 ",231
Jan Morforth,New Zealand,Organic Choco Syrup,03/Feb/2023,February,"$1,922 ",226
Gigi Bohling,New Zealand,Raspberry Choco,08/Sep/2023,September,"$1,161 ",181
Dennison Crosswaite,Australia,Milk Bars,06/Sep/2023,September,"$11,389 ",282
Ches Bonnell,UK,Caramel Stuffed Bars,06/Feb/2023,February,"$3,032 ",313
Van Tuxwell,USA,Fruit & Nut Bars,07/May/2023,May,"$6,872 ",238
Andria Kimpton,Canada,Eclairs,08/Nov/2023,November,$340 ,124
Madelene Upcott,India,Choco Coated Almonds,02/Nov/2023,November,"$3,720 ",141
Kelci Walkden,New Zealand,Spicy Special Slims,08/Nov/2023,November,$731 ,69
Roddy Speechley,Australia,Drinking Coco,05/Dec/2023,December,"$13,289 ",112
Wilone O'Kielt,USA,Milk Bars,15/Jul/2023,July,"$5,333 ",101
Andria Kimpton,India,Organic Choco Syrup,18/Jan/2023,January,"$3,972 ",131
Madelene Upcott,UK,Fruit & Nut Bars,01/May/2023,May,"$9,538 ",198
Curtice Advani,Australia,50% Dark Bites,29/Jun/2023,June,$548 ,221
Brien Boise,Canada,Raspberry Choco,14/Jun/2023,June,"$2,995 ",47
Gunar Cockshoot,India,Mint Chip Choco,08/Aug/2023,August,"$4,451 ",71
Dennison Crosswaite,India,Mint Chip Choco,23/Mar/2023,March,"$14,692 ",143
Barr Faughny,India,Caramel Stuffed Bars,01/Apr/2023,April,"$7,043 ",107
Brien Boise,India,Milk Bars,22/Feb/2023,February,"$15,583 ",248
Beverie Moffet,UK,Spicy Special Slims,17/Feb/2023,February,"$9,060 ",268
Barr Faughny,USA,Almond Choco,02/Mar/2023,March,$431 ,85
Van Tuxwell,Canada,Raspberry Choco,17/Mar/2023,March,"$1,264 ",137
Wilone O'Kielt,Australia,Baker's Choco Chips,25/Jan/2023,January,"$2,995 ",156
Brien Boise,Australia,Milk Bars,27/Jul/2023,July,"$2,118 ",56
Husein Augar,Australia,Fruit & Nut Bars,28/Jan/2023,January,"$8,082 ",54
Madelene Upcott,Australia,Organic Choco Syrup,07/May/2023,May,"$11,543 ",49
Van Tuxwell,India,White Choc,15/Mar/2023,March,"$2,184 ",46
Gunar Cockshoot,Canada,After Nines,08/Apr/2023,April,"$3,125 ",191
Jan Morforth,USA,Fruit & Nut Bars,27/Jun/2023,June,"$4,892 ",380
Jan Morforth,Canada,After Nines,13/Jul/2023,July,"$4,881 ",183
Barr Faughny,New Zealand,Manuka Honey Choco,24/Feb/2023,February,"$5,918 ",238
Karlen McCaffrey,New Zealand,85% Dark Bars,28/Jun/2023,June,"$6,313 ",60
Oby Sorrel,Australia,85% Dark Bars,30/Jun/2023,June,"$7,956 ",27
Curtice Advani,Canada,Choco Coated Almonds,18/Aug/2023,August,"$5,896 ",7
Kaine Padly,India,70% Dark Bites,24/Jan/2023,January,"$13,536 ",296
Beverie Moffet,USA,White Choc,03/Nov/2023,November,"$5,640 ",129
Ches Bonnell,New Zealand,After Nines,23/Jun/2023,June,"$5,813 ",356
Husein Augar,India,Spicy Special Slims,22/Aug/2023,August,"$2,515 ",32
Gunar Cockshoot,Canada,50% Dark Bites,01/Apr/2023,April,"$3,044 ",22
Curtice Advani,India,Milk Bars,04/May/2023,May,"$3,902 ",214
Beverie Moffet,India,Milk Bars,15/Apr/2023,April,"$1,929 ",354
Husein Augar,Australia,White Choc,05/Nov/2023,November,"$3,252 ",241
Andria Kimpton,Canada,Manuka Honey Choco,21/Jul/2023,July,"$5,032 ",495
Jan Morforth,New Zealand,Orange Choco,02/Nov/2023,November,"$1,350 ",89
Andria Kimpton,Canada,Smooth Sliky Salty,07/Aug/2023,August,"$1,188 ",75
Gunar Cockshoot,UK,Raspberry Choco,08/Nov/2023,November,"$7,055 ",334
Husein Augar,New Zealand,After Nines,08/Apr/2023,April,"$7,232 ",8
Andria Kimpton,New Zealand,Orange Choco,14/Jun/2023,June,"$9,296 ",93
Dennison Crosswaite,UK,Baker's Choco Chips,17/Jan/2023,January,"$2,277 ",296
Jehu Rudeforth,Canada,Orange Choco,23/Jun/2023,June,"$4,230 ",548
Jehu Rudeforth,UK,Smooth Sliky Salty,24/Aug/2023,August,"$1,641 ",119
Andria Kimpton,UK,Caramel Stuffed Bars,06/Jul/2023,July,"$8,235 ",294
Jan Morforth,UK,White Choc,22/Jun/2023,June,"$10,087 ",46
Dotty Strutley,USA,Fruit & Nut Bars,13/Jul/2023,July,"$3,169 ",281
Kelci Walkden,UK,Choco Coated Almonds,24/May/2023,May,"$10,355 ",215
Gunar Cockshoot,New Zealand,After Nines,08/Sep/2023,September,"$7,773 ",140
Kaine Padly,Canada,85% Dark Bars,04/Jun/2023,June,"$1,993 ",31
Jan Morforth,New Zealand,Manuka Honey Choco,28/Jul/2023,July,"$1,816 ",266
Gunar Cockshoot,New Zealand,Raspberry Choco,24/Aug/2023,August,$727 ,50
Van Tuxwell,Australia,99% Dark & Pure,17/Jan/2023,January,$115 ,132
Curtice Advani,USA,Drinking Coco,02/Jul/2023,July,"$5,378 ",142
Brien Boise,Australia,Spicy Special Slims,05/Sep/2023,September,"$6,708 ",269
Mallorie Waber,New Zealand,85% Dark Bars,06/Jun/2023,June,"$8,167 ",102
Wilone O'Kielt,USA,Choco Coated Almonds,06/Jun/2023,June,"$9,950 ",6
Beverie Moffet,New Zealand,Organic Choco Syrup,24/May/2023,May,"$7,229 ",215
Gunar Cockshoot,UK,50% Dark Bites,13/Jan/2023,January,"$2,260 ",128
Marney O'Breen,USA,Raspberry Choco,23/May/2023,May,"$6,207 ",149
Jehu Rudeforth,UK,White Choc,29/Jun/2023,June,"$1,890 ",286
Jehu Rudeforth,New Zealand,85% Dark Bars,03/Nov/2023,November,"$7,797 ",88
Dotty Strutley,USA,85% Dark Bars,25/Apr/2023,April,"$11,645 ",536
Rafaelita Blaksland,Australia,Smooth Sliky Salty,30/May/2023,May,"$4,207 ",255
Curtice Advani,India,Manuka Honey Choco,23/May/2023,May,"$1,684 ",169
Mallorie Waber,USA,Peanut Butter Cubes,23/May/2023,May,"$1,337 ",18
Van Tuxwell,Canada,Peanut Butter Cubes,24/Jun/2023,June,"$7,147 ",300
Kelci Walkden,New Zealand,Smooth Sliky Salty,03/Nov/2023,November,"$12,030 ",296
Rafaelita Blaksland,USA,Smooth Sliky Salty,27/Jul/2023,July,"$15,845 ",232
Rafaelita Blaksland,USA,White Choc,16/Aug/2023,August,"$5,026 ",133
Roddy Speechley,Canada,Smooth Sliky Salty,03/Jul/2023,July,"$9,902 ",12
Curtice Advani,New Zealand,After Nines,04/May/2023,May,"$7,944 ",33
Camilla Castle,India,85% Dark Bars,05/Apr/2023,April,"$9,524 ",55
Ches Bonnell,USA,Choco Coated Almonds,01/Apr/2023,April,"$16,241 ",93
Marney O'Breen,Australia,Baker's Choco Chips,13/Jan/2023,January,"$5,892 ",109
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,07/Nov/2023,November,"$6,925 ",94
Kaine Padly,Australia,Mint Chip Choco,17/May/2023,May,"$4,553 ",158
Camilla Castle,New Zealand,Peanut Butter Cubes,21/Jul/2023,July,"$1,725 ",60
Curtice Advani,Canada,Organic Choco Syrup,22/Feb/2023,February,$897 ,21
Jan Morforth,India,99% Dark & Pure,23/May/2023,May,"$10,284 ",178
Rafaelita Blaksland,Canada,Drinking Coco,07/Dec/2023,December,"$10,416 ",200
Jan Morforth,UK,Orange Choco,15/Jun/2023,June,"$4,221 ",193
Barr Faughny,New Zealand,50% Dark Bites,23/Jun/2023,June,"$4,910 ",304
Curtice Advani,Australia,Eclairs,25/Mar/2023,March,"$6,550 ",53
Jan Morforth,India,Caramel Stuffed Bars,07/Apr/2023,April,$89 ,165
Andria Kimpton,UK,White Choc,05/Dec/2023,December,"$9,793 ",110
Camilla Castle,New Zealand,Raspberry Choco,04/Apr/2023,April,"$4,824 ",143
Madelene Upcott,Australia,Orange Choco,15/Apr/2023,April,"$7,557 ",404
Roddy Speechley,Canada,Eclairs,03/Aug/2023,August,"$7,082 ",95
Karlen McCaffrey,India,White Choc,17/Jan/2023,January,"$8,361 ",231
Wilone O'Kielt,India,Mint Chip Choco,22/Aug/2023,August,"$1,311 ",52
Andria Kimpton,UK,99% Dark & Pure,25/Jul/2023,July,"$1,288 ",67
Marney O'Breen,UK,50% Dark Bites,14/Jun/2023,June,"$3,288 ",133
Ches Bonnell,India,Choco Coated Almonds,04/May/2023,May,"$10,669 ",85
Madelene Upcott,UK,Raspberry Choco,26/Aug/2023,August,"$7,362 ",344
Wilone O'Kielt,Australia,50% Dark Bites,08/Mar/2023,March,"$10,336 ",123
Gigi Bohling,Canada,White Choc,07/Nov/2023,November,"$6,986 ",4
Wilone O'Kielt,New Zealand,Eclairs,03/Nov/2023,November,"$3,394 ",21
Brien Boise,UK,Peanut Butter Cubes,01/Oct/2023,October,"$15,337 ",31
Roddy Speechley,UK,Baker's Choco Chips,04/Apr/2023,April,"$15,925 ",378
Karlen McCaffrey,Australia,50% Dark Bites,17/Jan/2023,January,"$7,356 ",772
Marney O'Breen,New Zealand,Organic Choco Syrup,07/Aug/2023,August,"$9,489 ",54
Jan Morforth,UK,Organic Choco Syrup,04/Dec/2023,December,"$1,281 ",354
Rafaelita Blaksland,Canada,Fruit & Nut Bars,24/Aug/2023,August,$518 ,192
Ches Bonnell,UK,Choco Coated Almonds,06/Jul/2023,July,"$1,934 ",239
Gunar Cockshoot,Canada,Almond Choco,28/Jul/2023,July,"$1,309 ",30
Husein Augar,USA,99% Dark & Pure,21/Feb/2023,February,"$9,879 ",111
Dennison Crosswaite,Canada,Mint Chip Choco,04/Aug/2023,August,"$1,944 ",297
Brien Boise,UK,Manuka Honey Choco,28/Jun/2023,June,$81 ,103
Van Tuxwell,UK,Baker's Choco Chips,24/Mar/2023,March,"$2,678 ",20
Barr Faughny,Australia,Caramel Stuffed Bars,29/Jul/2023,July,"$2,931 ",60
Dennison Crosswaite,USA,Eclairs,25/May/2023,May,"$2,316 ",90
Gigi Bohling,Australia,Raspberry Choco,30/Mar/2023,March,"$6,722 ",330
Dennison Crosswaite,USA,Organic Choco Syrup,18/Jul/2023,July,"$14,529 ",134
Beverie Moffet,Canada,Orange Choco,05/Oct/2023,October,"$9,390 ",104
Mallorie Waber,Australia,Choco Coated Almonds,18/Mar/2023,March,"$16,230 ",94
Ches Bonnell,India,Caramel Stuffed Bars,15/Jun/2023,June,"$7,224 ",55
Van Tuxwell,Canada,50% Dark Bites,05/Dec/2023,December,"$15,568 ",57
Kelci Walkden,New Zealand,Baker's Choco Chips,23/Jun/2023,June,"$2,964 ",105
Beverie Moffet,India,Spicy Special Slims,21/Apr/2023,April,"$3,357 ",186
Gigi Bohling,Australia,Almond Choco,17/Aug/2023,August,"$1,010 ",127
Rafaelita Blaksland,New Zealand,Eclairs,02/Jul/2023,July,"$20,470 ",54
Kelci Walkden,Canada,Smooth Sliky Salty,17/Mar/2023,March,"$8,763 ",115
Jan Morforth,India,Baker's Choco Chips,08/Jan/2023,January,"$14,614 ",85
Jehu Rudeforth,Australia,Milk Bars,18/Mar/2023,March,"$9,839 ",31
Gigi Bohling,Canada,Fruit & Nut Bars,14/Jun/2023,June,"$6,633 ",103
Beverie Moffet,UK,Eclairs,22/Apr/2023,April,"$9,749 ",169
Marney O'Breen,New Zealand,Eclairs,18/Jan/2023,January,"$5,254 ",31
Husein Augar,Australia,99% Dark & Pure,26/Aug/2023,August,"$3,430 ",123
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,06/Oct/2023,October,"$10,455 ",434
Curtice Advani,Canada,70% Dark Bites,31/Jan/2023,January,"$2,414 ",7
Kelci Walkden,New Zealand,Manuka Honey Choco,04/Aug/2023,August,"$1,445 ",108
Dotty Strutley,Australia,Baker's Choco Chips,06/Jul/2023,July,"$4,023 ",71
Barr Faughny,Australia,85% Dark Bars,02/Oct/2023,October,"$8,651 ",43
Beverie Moffet,Australia,50% Dark Bites,16/May/2023,May,$725 ,453
Gunar Cockshoot,India,Baker's Choco Chips,18/Mar/2023,March,"$2,385 ",540
Van Tuxwell,Australia,50% Dark Bites,13/Jul/2023,July,$726 ,131
Oby Sorrel,USA,Manuka Honey Choco,25/Jul/2023,July,"$4,742 ",83
Van Tuxwell,Canada,Choco Coated Almonds,19/Aug/2023,August,"$2,557 ",312
Karlen McCaffrey,Canada,70% Dark Bites,24/Jun/2023,June,"$8,377 ",646
Kelci Walkden,Canada,Fruit & Nut Bars,20/Jun/2023,June,$841 ,162
Camilla Castle,India,99% Dark & Pure,08/Feb/2023,February,$208 ,216
Madelene Upcott,New Zealand,70% Dark Bites,22/Feb/2023,February,"$13,370 ",94
Mallorie Waber,New Zealand,Orange Choco,02/Jan/2023,January,"$6,811 ",25
Jan Morforth,Canada,70% Dark Bites,14/Feb/2023,February,"$6,097 ",300
Kelci Walkden,Australia,Milk Bars,24/Feb/2023,February,"$8,685 ",120
Dennison Crosswaite,India,Orange Choco,18/Mar/2023,March,$873 ,140
Husein Augar,UK,Eclairs,30/Aug/2023,August,"$1,913 ",253
Gigi Bohling,USA,Peanut Butter Cubes,05/Sep/2023,September,$322 ,76
Wilone O'Kielt,USA,Smooth Sliky Salty,18/Jan/2023,January,$511 ,96
Curtice Advani,India,White Choc,07/Apr/2023,April,"$7,887 ",335
Oby Sorrel,New Zealand,Spicy Special Slims,06/Mar/2023,March,"$1,794 ",13
Beverie Moffet,New Zealand,Peanut Butter Cubes,23/Feb/2023,February,"$12,129 ",29
Dotty Strutley,New Zealand,99% Dark & Pure,05/Sep/2023,September,"$11,750 ",213
Kelci Walkden,India,70% Dark Bites,06/Jun/2023,June,"$3,967 ",101
Kelci Walkden,India,Drinking Coco,07/Apr/2023,April,"$8,105 ",255
Brien Boise,New Zealand,Drinking Coco,06/Jun/2023,June,"$1,614 ",106
Dotty Strutley,Australia,Almond Choco,13/May/2023,May,"$1,613 ",91
Wilone O'Kielt,New Zealand,Organic Choco Syrup,31/Jan/2023,January,"$2,156 ",281
Ches Bonnell,New Zealand,Caramel Stuffed Bars,30/Jun/2023,June,"$8,184 ",43
Barr Faughny,Canada,Manuka Honey Choco,25/Aug/2023,August,"$3,613 ",251
Gigi Bohling,New Zealand,Smooth Sliky Salty,01/Oct/2023,October,$801 ,101
Brien Boise,USA,Manuka Honey Choco,22/Aug/2023,August,"$2,069 ",8
Roddy Speechley,New Zealand,85% Dark Bars,14/Apr/2023,April,"$5,096 ",284
Oby Sorrel,UK,Smooth Sliky Salty,31/May/2023,May,"$10,574 ",338
Oby Sorrel,UK,Raspberry Choco,04/Aug/2023,August,"$4,611 ",322
Roddy Speechley,USA,Drinking Coco,21/Feb/2023,February,"$3,289 ",148
Andria Kimpton,Australia,Manuka Honey Choco,30/Mar/2023,March,"$10,883 ",394
Mallorie Waber,India,Raspberry Choco,03/Feb/2023,February,"$1,517 ",2
Jehu Rudeforth,USA,Orange Choco,28/Jul/2023,July,$391 ,184
Kaine Padly,New Zealand,70% Dark Bites,24/Mar/2023,March,"$7,969 ",38
Curtice Advani,Australia,After Nines,08/Nov/2023,November,$64 ,109
Husein Augar,UK,Almond Choco,17/May/2023,May,"$8,832 ",175
Kaine Padly,Canada,Choco Coated Almonds,18/May/2023,May,"$3,542 ",180
Roddy Speechley,UK,Peanut Butter Cubes,17/Aug/2023,August,"$6,052 ",173
Ches Bonnell,New Zealand,Eclairs,04/Apr/2023,April,$543 ,54
Brien Boise,India,85% Dark Bars,08/Sep/2023,September,"$18,895 ",201
Brien Boise,New Zealand,Organic Choco Syrup,17/Jan/2023,January,$689 ,331
Andria Kimpton,Canada,White Choc,14/Feb/2023,February,"$4,436 ",31
Gigi Bohling,New Zealand,Orange Choco,16/May/2023,May,"$9,111 ",324
Ches Bonnell,Canada,Smooth Sliky Salty,16/Mar/2023,March,"$10,370 ",129
Husein Augar,Canada,70% Dark Bites,31/Jan/2023,January,"$5,833 ",290
Barr Faughny,Canada,Organic Choco Syrup,03/Oct/2023,October,"$1,230 ",219
Oby Sorrel,UK,Organic Choco Syrup,30/Jun/2023,June,"$8,840 ",170
Van Tuxwell,New Zealand,Eclairs,03/Jan/2023,January,"$5,748 ",176
Mallorie Waber,UK,Drinking Coco,27/May/2023,May,"$3,666 ",107
Oby Sorrel,UK,Milk Bars,07/Nov/2023,November,"$6,854 ",220
Karlen McCaffrey,New Zealand,Mint Chip Choco,03/Feb/2023,February,"$4,361 ",59
Jehu Rudeforth,USA,Raspberry Choco,03/Apr/2023,April,"$7,686 ",141
Kelci Walkden,UK,85% Dark Bars,23/Jun/2023,June,"$4,188 ",235
Kelci Walkden,USA,Almond Choco,27/Jan/2023,January,"$5,425 ",234
Marney O'Breen,Canada,Orange Choco,14/Jan/2023,January,"$2,897 ",456
Dennison Crosswaite,India,Fruit & Nut Bars,29/Jul/2023,July,"$1,071 ",23
Brien Boise,Canada,Smooth Sliky Salty,13/May/2023,May,"$6,417 ",497
Barr Faughny,Canada,Baker's Choco Chips,02/Mar/2023,March,"$10,967 ",172
Brien Boise,India,Smooth Sliky Salty,27/May/2023,May,"$6,345 ",28
Jan Morforth,Australia,Drinking Coco,18/Feb/2023,February,"$2,825 ",25
Brien Boise,India,Spicy Special Slims,28/Jan/2023,January,"$1,464 ",34
Van Tuxwell,UK,Eclairs,29/Jun/2023,June,"$5,857 ",115
Wilone O'Kielt,India,Caramel Stuffed Bars,13/Jan/2023,January,"$4,304 ",282
Jehu Rudeforth,UK,After Nines,27/Jun/2023,June,"$2,048 ",169
Barr Faughny,Canada,White Choc,29/Mar/2023,March,"$4,692 ",1
Gunar Cockshoot,India,Organic Choco Syrup,06/Mar/2023,March,"$7,302 ",153
Mallorie Waber,Canada,Smooth Sliky Salty,21/Mar/2023,March,"$2,057 ",103
Mallorie Waber,India,Eclairs,04/Dec/2023,December,"$11,033 ",49
Rafaelita Blaksland,Australia,Raspberry Choco,19/Jan/2023,January,"$7,774 ",247
Karlen McCaffrey,UK,50% Dark Bites,04/Jun/2023,June,"$3,843 ",295
Kaine Padly,Australia,50% Dark Bites,08/Feb/2023,February,"$9,164 ",81
Gigi Bohling,Australia,Eclairs,04/Dec/2023,December,"$7,629 ",146
Oby Sorrel,India,Drinking Coco,21/Jul/2023,July,"$18,221 ",139
Van Tuxwell,New Zealand,Baker's Choco Chips,22/Mar/2023,March,"$9,829 ",24
Husein Augar,India,Peanut Butter Cubes,05/Sep/2023,September,"$4,727 ",5
Andria Kimpton,Australia,Baker's Choco Chips,08/Sep/2023,September,$345 ,118
Madelene Upcott,Canada,Choco Coated Almonds,20/Jul/2023,July,"$3,451 ",283
Brien Boise,India,70% Dark Bites,14/Apr/2023,April,"$5,071 ",439
Jehu Rudeforth,Canada,White Choc,25/Jan/2023,January,"$4,719 ",132
Andria Kimpton,Australia,Almond Choco,25/Apr/2023,April,"$3,431 ",174
Dotty Strutley,Canada,After Nines,17/Jan/2023,January,$268 ,239
Karlen McCaffrey,USA,Eclairs,15/Aug/2023,August,$991 ,133
Karlen McCaffrey,Canada,Fruit & Nut Bars,06/Feb/2023,February,$213 ,17
Gunar Cockshoot,USA,85% Dark Bars,30/Jun/2023,June,"$7,586 ",131
Dotty Strutley,New Zealand,Raspberry Choco,02/Oct/2023,October,"$6,192 ",99
Marney O'Breen,Canada,Caramel Stuffed Bars,23/Feb/2023,February,"$1,511 ",602
Dennison Crosswaite,India,Organic Choco Syrup,27/Jan/2023,January,"$8,693 ",209
Camilla Castle,UK,Mint Chip Choco,26/May/2023,May,"$5,510 ",307
Brien Boise,USA,70% Dark Bites,14/Apr/2023,April,"$1,863 ",22
Madelene Upcott,Australia,99% Dark & Pure,08/Jan/2023,January,"$4,823 ",159
Mallorie Waber,Australia,Eclairs,22/Aug/2023,August,"$10,857 ",229
Marney O'Breen,India,99% Dark & Pure,22/Jul/2023,July,"$11,252 ",159
Husein Augar,USA,Fruit & Nut Bars,28/Apr/2023,April,"$1,388 ",27
Kelci Walkden,Australia,Almond Choco,30/May/2023,May,"$5,509 ",341
Ches Bonnell,USA,Milk Bars,21/Jul/2023,July,"$2,444 ",155
Jan Morforth,UK,Caramel Stuffed Bars,08/Feb/2023,February,"$3,176 ",507
Brien Boise,New Zealand,70% Dark Bites,15/Jun/2023,June,"$7,900 ",143
Oby Sorrel,India,85% Dark Bars,07/May/2023,May,"$9,072 ",142
Kaine Padly,New Zealand,Smooth Sliky Salty,04/Dec/2023,December,$8 ,513
Gigi Bohling,Australia,70% Dark Bites,18/Aug/2023,August,"$1,549 ",104
Jan Morforth,UK,50% Dark Bites,01/Dec/2023,December,"$5,502 ",298
Gunar Cockshoot,Canada,White Choc,08/Nov/2023,November,"$7,685 ",15
Jehu Rudeforth,Australia,Spicy Special Slims,13/Jan/2023,January,"$5,148 ",402
Husein Augar,UK,Baker's Choco Chips,29/Apr/2023,April,"$3,070 ",143
Rafaelita Blaksland,New Zealand,After Nines,07/Jul/2023,July,"$1,128 ",88
Madelene Upcott,New Zealand,Mint Chip Choco,03/Nov/2023,November,"$8,503 ",4
Madelene Upcott,UK,70% Dark Bites,16/Feb/2023,February,"$5,961 ",241
Barr Faughny,Australia,Organic Choco Syrup,01/Jul/2023,July,"$2,478 ",33
Beverie Moffet,New Zealand,Drinking Coco,01/Dec/2023,December,"$1,270 ",497
Beverie Moffet,India,Eclairs,06/Sep/2023,September,"$11,131 ",144
Andria Kimpton,India,Eclairs,16/May/2023,May,"$2,455 ",83
Gigi Bohling,UK,85% Dark Bars,23/Jun/2023,June,"$12,765 ",100
Roddy Speechley,UK,Raspberry Choco,28/Jan/2023,January,"$13,351 ",198
Dotty Strutley,UK,Mint Chip Choco,14/Jul/2023,July,"$2,763 ",223
Barr Faughny,Canada,Drinking Coco,18/Apr/2023,April,"$6,523 ",245
Oby Sorrel,USA,Milk Bars,14/Jun/2023,June,"$1,868 ",82
Oby Sorrel,UK,Orange Choco,15/Apr/2023,April,"$8,432 ",251
Curtice Advani,Canada,Peanut Butter Cubes,19/May/2023,May,"$5,647 ",64
Gigi Bohling,India,White Choc,13/Apr/2023,April,"$1,485 ",180
Husein Augar,Canada,Choco Coated Almonds,15/Aug/2023,August,"$3,860 ",395
Wilone O'Kielt,India,Choco Coated Almonds,22/Aug/2023,August,"$3,237 ",227
Wilone O'Kielt,New Zealand,Baker's Choco Chips,22/Apr/2023,April,"$4,072 ",64
Kaine Padly,UK,Choco Coated Almonds,08/Mar/2023,March,"$8,055 ",118
Dennison Crosswaite,New Zealand,Organic Choco Syrup,01/Apr/2023,April,$420 ,224
Kelci Walkden,Canada,After Nines,13/Jan/2023,January,"$17,074 ",218
Van Tuxwell,Australia,Baker's Choco Chips,05/Nov/2023,November,"$13,624 ",33
Husein Augar,New Zealand,Peanut Butter Cubes,16/Feb/2023,February,"$2,318 ",235
Kaine Padly,UK,Caramel Stuffed Bars,20/May/2023,May,"$10,740 ",67
Jehu Rudeforth,UK,Drinking Coco,02/Mar/2023,March,"$7,625 ",422
Beverie Moffet,India,Manuka Honey Choco,05/Jun/2023,June,"$10,168 ",159
Gunar Cockshoot,UK,Choco Coated Almonds,30/Jun/2023,June,"$6,635 ",141
Gunar Cockshoot,UK,Smooth Sliky Salty,22/Mar/2023,March,$860 ,158
Camilla Castle,Canada,Orange Choco,17/Feb/2023,February,"$8,671 ",52
Jehu Rudeforth,UK,85% Dark Bars,07/Jul/2023,July,"$5,534 ",63
Oby Sorrel,UK,70% Dark Bites,16/Mar/2023,March,"$6,800 ",187
Kelci Walkden,UK,99% Dark & Pure,08/Dec/2023,December,"$3,928 ",123
Gigi Bohling,New Zealand,After Nines,21/Jan/2023,January,"$5,834 ",196
Oby Sorrel,Australia,50% Dark Bites,05/Jun/2023,June,$733 ,147
Oby Sorrel,Canada,50% Dark Bites,24/Jun/2023,June,"$7,165 ",140
Barr Faughny,USA,White Choc,05/May/2023,May,"$7,901 ",175
